id,title,release_date,popularity,vote_average,vote_count,release_year,release_month,film_age,log_vote_count,log_popularity,engagement_ratio,log_engagement,votes_per_year,popularity_per_year,language_rarity,original_language_cn,original_language_de,original_language_en,original_language_es,original_language_fr,original_language_hi,original_language_it,original_language_ja,original_language_ko,original_language_other,original_language_zh,genre_10752,genre_12,genre_14,genre_16,genre_18,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_37,genre_9648,genre_53,genre_80,genre_99,genre_878,genre_10749,genre_10751,genre_count,trend_score,popularity_score
226674,The Adolescent,1979-01-24,39.5314,4.3,12,1979,1,47,2.5649493574615367,3.70207698235798,0.2960667531839512,0.25933410369002063,0.25,0.8235708333333333,0.02353453911527566,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8235708333333333,474.3768
1416391,Toaster,2026-04-15,39.1461,5.0,9,2026,4,0,2.302585092994046,3.6925252999338176,0.22418117824645484,0.20227219457922352,9.0,39.1461,0.006319459577249945,False,False,False,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,39.1461,352.31489999999997
803796,KPop Demon Hunters,2025-06-20,39.0913,8.022,2641,2025,6,1,7.879291485082271,3.691159353167832,65.87464113161708,4.202819838945579,1320.5,19.54565,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,19.54565,103240.12329999999
1110034,Kraken,2026-02-06,38.7557,6.0,11,2026,2,0,2.4849066497880004,3.6827532270464998,0.27668988346325185,0.24427069983944502,11.0,38.7557,0.0019612115929396384,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,38.7557,426.31269999999995
1234821,Jurassic World Rebirth,2025-07-01,38.5074,6.275,3215,2025,7,1,8.075893630298857,3.6764879961329497,81.37715972197614,4.411308210651681,1607.5,19.2537,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,19.2537,123801.291
329505,Lola's Secret,1984-05-04,37.9018,6.978,69,1984,5,42,4.248495242049359,3.661040522047435,1.7736968469325327,1.0201810321905767,1.6046511627906976,0.8814372093023256,0.012856831553715406,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0.8814372093023256,2615.2242
1010581,My Fault,2023-06-08,36.4404,7.749,4030,2023,6,3,8.301769763117166,3.622750335313004,107.63773891304581,4.688018850937741,1007.5,9.1101,0.018958378731749836,False,False,False,True,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,9.1101,146854.81199999998
425274,Now You See Me: Now You Don't,2025-11-12,36.1803,6.513,1381,2025,11,1,7.231287004327616,3.6157790511149677,37.14332590108202,3.6413507988108966,690.5,18.09015,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,18.09015,49964.994300000006
999136,Do Not Enter,2026-03-19,35.9646,5.373,63,2026,3,0,4.1588830833596715,3.609960697903579,1.7043333351368608,0.9948554254117211,63.0,35.9646,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,35.9646,2265.7698
1381216,Lake Jesup: Bonecrusher's Revenge,2024-05-01,35.8981,6.295,44,2024,5,2,3.8066624897703196,3.608160059205894,1.1924733251847657,0.7850302787978367,14.666666666666666,11.966033333333334,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,11.966033333333334,1579.5164
1246049,Dracula,2025-07-30,35.1786,7.075,1087,2025,7,1,6.992096427415888,3.5884677838066326,30.045385946388194,3.435450196576856,543.5,17.5893,0.02353453911527566,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,17.5893,38239.1382
496243,Parasite,2019-05-30,34.7535,8.494,20432,2019,5,7,9.924906519909428,3.576648166445821,571.4685275567426,6.349957760217273,2554.0,4.3441875,0.03944214425800828,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,4.3441875,710083.5120000001
50619,The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,34.0776,6.189,9224,2011,11,15,9.129672468908728,3.5575627501122544,262.95983761716883,5.575796961335341,576.5,2.12985,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2.12985,314331.78239999997
1119449,"Good Luck, Have Fun, Don't Die",2026-02-13,34.0361,6.934,347,2026,2,0,5.8522024797744745,3.5563789585038705,9.90407037312943,2.3891361482554148,347.0,34.0361,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,34.0361,11810.526699999999
1387382,Hunting Season,2025-12-05,33.1133,6.9,184,2025,12,1,5.220355825078324,3.5296873375733187,5.3937906916070855,1.8553273149762706,92.0,16.55665,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,16.55665,6092.8472
1511057,Roommates,2026-04-13,32.6326,6.324,17,2026,4,0,2.8903717578961645,3.515495834687643,0.505461962500669,0.4090998029284519,17.0,32.6326,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,32.6326,554.7542
467905,How to Make a Killing,2026-02-19,32.4075,7.0,267,2026,2,0,5.5909869805108565,3.508780425673079,7.992217316470852,2.1963594606162897,267.0,32.4075,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,32.4075,8652.8025
1408208,Exit 8,2025-08-28,32.2645,6.6,279,2025,8,1,5.634789603169249,3.50449076226772,8.38731981541884,2.2393598228095155,139.5,16.13225,0.08890825887993027,False,False,False,False,False,False,False,True,False,False,False,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,16.13225,9001.7955
744275,After We Fell,2021-09-01,32.1979,7.007,2723,2021,9,5,7.909856667269403,3.5024866209098384,82.02326050744175,4.419120815612332,453.8333333333333,5.366316666666666,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5.366316666666666,87674.8817
324857,Spider-Man: Into the Spider-Verse,2018-12-06,31.9336,8.394,17064,2018,12,8,9.744784861340808,3.4944934132189225,518.1334564092599,6.252160991554355,1896.0,3.5481777777777777,0.7204183918064938,False,False,True,False,False,False,False,False,False,False,False,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,3.5481777777777777,544914.9504
28322,Madness,1980-03-20,30.9781,4.929,28,1980,3,46,3.367295829986474,3.4650512935082545,0.8755992382286627,0.6289282020851324,0.5957446808510638,0.6591085106382979,0.012856831553715406,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0.6591085106382979,867.3868
