id,title,release_date,popularity,vote_average,vote_count,genre_ids,original_language
425274,Now You See Me: Now You Don't,2025-11-12,36.1803,6.513,1381,80|53,en
299534,Avengers: Endgame,2019-04-24,36.0183,8.234,27510,12|878|28,en
999136,Do Not Enter,2026-03-19,35.9646,5.373,63,27,en
1381216,Lake Jesup: Bonecrusher's Revenge,2024-05-01,35.8981,6.295,44,27|35|12,en
969681,Spider-Man: Brand New Day,2026-07-29,35.8468,0.0,0,878|28|12,en
1246049,Dracula,2025-07-30,35.1786,7.075,1087,27|14|10749,fr
496243,Parasite,2019-05-30,34.7535,8.494,20432,35|53|18,ko
27205,Inception,2010-07-15,34.4614,8.4,39024,28|878|12,en
50619,The Twilight Saga: Breaking Dawn - Part 1,2011-11-16,34.0776,6.189,9224,12|14|10749,en
1119449,"Good Luck, Have Fun, Don't Die",2026-02-13,34.0361,6.934,347,878|28|35,en
19995,Avatar,2009-12-16,33.4524,7.602,33790,878|28|12,en
1387382,Hunting Season,2025-12-05,33.1133,6.9,184,28|18|53,en
1511057,Roommates,2026-04-13,32.6326,6.324,17,35,en
467905,How to Make a Killing,2026-02-19,32.4075,7.0,267,35|53,en
1408208,Exit 8,2025-08-28,32.2645,6.6,279,27|9648,ja
744275,After We Fell,2021-09-01,32.1979,7.007,2723,18|10749,en
324857,Spider-Man: Into the Spider-Verse,2018-12-06,31.9336,8.394,17064,16|28|12|878,en
1266992,Balinsasayaw,2024-05-17,31.8772,5.3,3,18,tl
155,The Dark Knight,2008-07-16,31.2714,8.528,35504,28|80|53,en
597,Titanic,1997-12-18,31.2439,7.902,27000,18|10749,en
950891,The Sales Girl,2023-11-15,31.013,0.0,0,18,mn
28322,Madness,1980-03-20,30.9781,4.929,28,53|28|80,it
1192548,Hannah Waddingham: Home for Christmas,2023-11-21,30.8326,6.147,17,10402,en
858024,Hamnet,2025-11-26,30.7017,7.729,1236,18|10749|36,en
1117857,In Your Dreams,2025-11-07,30.484,6.973,204,16|10751|35|12|14,en
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,30.3484,8.432,27335,12|14|28,en
1011985,Kung Fu Panda 4,2024-03-02,30.3157,7.0,3451,16|10751|28|35|12|14,en
533535,Deadpool & Wolverine,2024-07-24,30.2776,7.558,8476,28|35|878,en
680,Pulp Fiction,1994-09-10,30.2283,8.486,30005,53|80|35,en
991494,The SpongeBob Movie: Search for SquarePants,2025-12-16,29.82,6.8,264,16|10751|35|12|14,en
1233413,Sinners,2025-04-16,29.7341,7.5,4335,27|28|53,en
315635,Spider-Man: Homecoming,2017-07-05,29.5405,7.331,23027,28|12|878,en
76600,Avatar: The Way of Water,2022-12-14,29.4732,7.593,13969,28|12|878,en
1306368,The Rip,2026-01-13,29.4375,7.056,1508,28|53|80,en
1241470,Osiris,2025-07-25,29.2984,5.989,223,878|28|27,en
677638,We Bare Bears: The Movie,2020-06-30,29.1055,7.8,844,16|12|10751|35|10770,en
567609,Ready or Not,2019-08-21,29.0742,7.051,5275,27|35,en
1061474,Superman,2025-07-09,28.8714,7.341,4615,878|12|28,en
1659087,180,2026-04-16,28.8433,5.8,8,53|80|18,en
1276038,A Desert,2025-05-02,28.6176,6.1,24,27|53,en
346364,It,2017-09-06,28.1847,7.239,20220,27|53|18,en
911430,F1,2025-06-25,28.0767,7.8,3741,28|18,en
129,Spirited Away,2001-07-20,28.0629,8.5,18165,16|10751|14,ja
402431,Wicked,2024-10-16,27.9768,6.912,2966,18|10749|14,en
1424965,Ice Skater,2026-02-24,27.948,4.559,17,18|53,en
1297454,The Death That Awaits,2025-02-06,27.7153,6.029,17,27|53,en
1493859,Pizza Movie,2026-03-13,27.4922,6.424,72,35,en
603,The Matrix,1999-03-31,27.484,8.2,27677,28|878,en
122,The Lord of the Rings: The Return of the King,2003-12-17,27.4174,8.497,26335,12|14|28,en
1167307,David,2025-12-14,27.2937,8.1,128,16|10751|18|10402,en
1054867,One Battle After Another,2025-09-23,27.2264,7.4,3492,53|80|35,en
671,Harry Potter and the Philosopher's Stone,2001-11-16,26.9317,7.9,29400,12|14,en
14836,Coraline,2009-02-05,26.9201,7.9,8868,16|10751|14,en
426889,Le Clitoris,2017-08-24,26.8398,6.756,43,16|99,fr
38,Eternal Sunshine of the Spotless Mind,2004-03-19,26.7945,8.091,16218,878|18|10749,en
13,Forrest Gump,1994-06-23,26.716,8.5,29540,35|18|10749,en
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,26.5261,8.326,798,16|28|10749|14,ja
1291608,Dhurandhar,2025-12-05,26.5085,7.0,253,28|80|53,hi
1650558,Abot Langit,2026-03-13,26.2435,5.0,1,10749,tl
1241982,Moana 2,2024-11-21,26.0305,6.995,3022,16|12|10751|35|14,en
569094,Spider-Man: Across the Spider-Verse,2023-05-31,25.3682,8.332,8454,16|28|12|878,en
361743,Top Gun: Maverick,2022-05-21,25.1616,8.152,10769,28|18,en
372058,Your Name.,2016-08-26,25.1381,8.478,12426,16|10749|18,ja
424,Schindler's List,1993-12-15,24.9226,8.6,17320,18|36|10752,en
519182,Despicable Me 4,2024-06-20,24.7714,6.982,3149,10751|35|16|878|28,en
1634301,Vanaveera,2026-02-13,24.641,7.5,6,28|18,te
1228246,Five Nights at Freddy's 2,2025-12-03,24.5982,6.649,881,27|53,en
1015606,Obi-Wan Kenobi: A Jedi's Return,2022-09-07,24.5301,6.8,1009,99,en
497,The Green Mile,1999-12-10,24.4427,8.504,19089,14|18|80,en
550,Fight Club,1999-10-15,24.3812,8.438,31804,18|53,en
335984,Blade Runner 2049,2017-10-04,24.312,7.591,14984,878|18,en
1156594,Our Fault,2025-10-15,24.1789,7.365,639,10749|18,es
1184918,The Wild Robot,2024-09-12,24.1064,8.3,5911,10751|16|878|12,en
10138,Iron Man 2,2010-04-28,24.0534,6.851,22245,12|28|878,en
872585,Oppenheimer,2023-07-19,24.0436,8.032,11607,18|36,en
1038392,The Conjuring: Last Rites,2025-09-03,23.9168,6.88,1747,27,en
1003596,Avengers: Doomsday,2026-12-16,23.8787,0.0,0,878|28|12,en
1062722,Frankenstein,2025-10-17,23.7802,7.6,3314,18|14|27,en
1511417,Bāhubali: The Epic,2025-10-29,23.6476,5.986,35,28|18,te
62029,Bingo Bongo,1982-12-23,23.6225,5.7,172,35,it
798645,The Running Man,2025-11-11,23.5936,6.759,1391,28|53|878,en
807,Se7en,1995-09-22,23.5454,8.38,22902,80|9648|53,en
1314481,The Devil Wears Prada 2,2026-04-29,23.3749,0.0,0,18|35,en
769,GoodFellas,1990-09-12,23.3277,8.453,14209,18|80,en
575265,Mission: Impossible - The Final Reckoning,2025-05-17,23.3134,7.2,2710,28|53|12,en
912649,Venom: The Last Dance,2024-10-22,23.1963,6.66,4114,878|28|12,en
346698,Barbie,2023-07-19,23.1143,6.927,10968,35|12,en
1314786,Agent Zeta,2026-03-20,23.0967,6.686,121,18|53,es
1726,Iron Man,2008-04-30,22.7853,7.657,27959,28|878|12,en
1658214,Scorpio Nights 4,2026-03-31,22.7399,7.5,2,18,tl
1412598,Killer Whale,2026-01-16,22.727,5.708,77,53|27|28|9648|878,en
950387,A Minecraft Movie,2025-03-31,22.6224,6.264,2913,10751|14|35|12,en
1191876,From the Ashes,2027-06-01,22.5433,0.0,0,18,en
8587,The Lion King,1994-06-15,22.4743,8.252,19573,16|10751|18,en
1078605,Weapons,2025-08-04,22.3559,7.3,3236,27|9648,en
140607,Star Wars: The Force Awakens,2015-12-15,22.2949,7.25,20434,12|28|878,en
808,Shrek,2001-05-18,22.2528,7.759,18595,16|35|14|12|10751,en
121,The Lord of the Rings: The Two Towers,2002-12-18,22.2313,8.416,23710,12|14|28,en
1022789,Inside Out 2,2024-06-11,22.17,7.545,6592,16|12|35|10751,en
240,The Godfather Part II,1974-12-20,22.1675,8.572,13792,18|80,en
557,Spider-Man,2002-05-01,22.0881,7.324,20510,28|878,en
508947,Turning Red,2022-03-10,22.075,7.318,5742,16|10751|35|14,en
105,Back to the Future,1985-07-03,22.0032,8.326,21630,12|35|878,en
693134,Dune: Part Two,2024-02-27,21.9744,8.1,7791,878|12,en
1087192,How to Train Your Dragon,2025-06-06,21.9109,7.924,2721,14|10751|28|12,en
1448560,Wildcat,2025-11-19,21.9055,6.189,151,28|53,en
